player,year,team,round
"Brown, Luke",2013,adelaide,R19
"Brown, Luke",2013,adelaide,R20
"Brown, Luke",2013,adelaide,R21
"Brown, Luke",2013,adelaide,R22
"Brown, Luke",2013,adelaide,R23
"Callinan, Ian",2013,adelaide,R2
"Callinan, Ian",2013,adelaide,R11
"Callinan, Ian",2013,adelaide,R12
"Callinan, Ian",2013,adelaide,R21
"Callinan, Ian",2013,adelaide,R22
"Callinan, Ian",2013,adelaide,R23
"Crouch, Brad",2013,adelaide,R2
"Crouch, Brad",2013,adelaide,R3
"Crouch, Brad",2013,adelaide,R4
"Crouch, Brad",2013,adelaide,R11
"Crouch, Brad",2013,adelaide,R14
"Crouch, Brad",2013,adelaide,R15
"Crouch, Brad",2013,adelaide,R16
"Crouch, Brad",2013,adelaide,R17
"Crouch, Brad",2013,adelaide,R18
"Crouch, Brad",2013,adelaide,R19
"Crouch, Brad",2013,adelaide,R20
"Crouch, Brad",2013,adelaide,R21
"Crouch, Brad",2013,adelaide,R22
"Crouch, Brad",2013,adelaide,R23
"Dangerfield, Patrick",2013,adelaide,R1
"Dangerfield, Patrick",2013,adelaide,R2
"Dangerfield, Patrick",2013,adelaide,R3
"Dangerfield, Patrick",2013,adelaide,R4
"Dangerfield, Patrick",2013,adelaide,R5
"Dangerfield, Patrick",2013,adelaide,R6
"Dangerfield, Patrick",2013,adelaide,R7
"Dangerfield, Patrick",2013,adelaide,R8
"Dangerfield, Patrick",2013,adelaide,R9
"Dangerfield, Patrick",2013,adelaide,R10
"Dangerfield, Patrick",2013,adelaide,R11
"Dangerfield, Patrick",2013,adelaide,R12
"Dangerfield, Patrick",2013,adelaide,R14
"Dangerfield, Patrick",2013,adelaide,R15
"Dangerfield, Patrick",2013,adelaide,R16
"Dangerfield, Patrick",2013,adelaide,R19
"Dangerfield, Patrick",2013,adelaide,R20
"Dangerfield, Patrick",2013,adelaide,R21
"Dangerfield, Patrick",2013,adelaide,R22
"Dangerfield, Patrick",2013,adelaide,R23
"Douglas, Richard",2013,adelaide,R1
"Douglas, Richard",2013,adelaide,R2
"Douglas, Richard",2013,adelaide,R3
"Douglas, Richard",2013,adelaide,R4
"Douglas, Richard",2013,adelaide,R5
"Douglas, Richard",2013,adelaide,R6
"Douglas, Richard",2013,adelaide,R7
"Douglas, Richard",2013,adelaide,R8
"Douglas, Richard",2013,adelaide,R9
"Douglas, Richard",2013,adelaide,R10
"Douglas, Richard",2013,adelaide,R11
"Douglas, Richard",2013,adelaide,R12
"Douglas, Richard",2013,adelaide,R14
"Douglas, Richard",2013,adelaide,R15
"Douglas, Richard",2013,adelaide,R16
"Douglas, Richard",2013,adelaide,R17
"Douglas, Richard",2013,adelaide,R18
"Douglas, Richard",2013,adelaide,R19
"Douglas, Richard",2013,adelaide,R20
"Douglas, Richard",2013,adelaide,R21
"Douglas, Richard",2013,adelaide,R22
"Douglas, Richard",2013,adelaide,R23
"Grigg, Mitch",2013,adelaide,R17
"Grigg, Mitch",2013,adelaide,R19
"Grigg, Mitch",2013,adelaide,R20
"Grigg, Mitch",2013,adelaide,R22
"Grigg, Mitch",2013,adelaide,R23
"Hartigan, Kyle",2013,adelaide,R18
"Hartigan, Kyle",2013,adelaide,R22
"Hartigan, Kyle",2013,adelaide,R23
"Henderson, Ricky",2013,adelaide,R1
"Henderson, Ricky",2013,adelaide,R2
"Henderson, Ricky",2013,adelaide,R3
"Henderson, Ricky",2013,adelaide,R4
"Henderson, Ricky",2013,adelaide,R5
"Henderson, Ricky",2013,adelaide,R11
"Henderson, Ricky",2013,adelaide,R12
"Henderson, Ricky",2013,adelaide,R14
"Henderson, Ricky",2013,adelaide,R15
