DI_Avg,KI_Avg,MK_Avg,HB_Avg,GL_Avg,BH_Avg,HO_Avg,TK_Avg,RB_Avg,I5_Avg,CL_Avg,target
 -26.87557,   0.50859,  12.93123, -27.38417,  -1.52308,   2.31931, -20.38422,  -7.76820,  -8.64023,  -2.80652,  -3.69778,   0.00000
  27.47288,  32.89609,   8.90157,  -5.42321,   1.48834,   0.85911,   7.59836,  -1.10573,   3.64446,   6.11004,   8.01760,   1.00000
  24.90816,   9.92185,   2.03336,  14.98631,   1.90870,   0.94797,  27.06719,  -5.76570,  -0.10586,  -0.69659,  11.97107,   1.00000
  27.78879,  30.90709,  14.06466,  -3.11830,   6.24034,   0.86172,   6.38845,  -6.95875,   2.26274,   4.43439,   0.78028,   1.00000
   0.46297,   5.51736,   0.86969,  -5.05439,   0.45704,   0.11724,   6.69102,  -8.77449,   1.89821,   6.33909,   6.83643,   1.00000
  46.61819,  28.18791,   8.17066,  18.43028,   3.25391,   3.21170, -24.66587,   6.83114,  -2.14002,  15.82617,  10.93807,   1.00000
   8.47860,  14.51527,  11.00976,  -6.03667,   1.00126,   2.07626,  -2.17297,   6.83985,  -3.37080,   3.40524,   2.39453,   1.00000
   6.90120,  -7.11258, -15.64513,  14.01378,   1.53248,  -1.55198,  13.02634,   6.36079,   3.49137,   1.59794,   3.79271,   0.00000
  16.37802,  16.28318,   5.73476,   0.09484,   3.35433,   1.74402,  11.26903,   0.74363,  -1.34162,   7.73240,  -2.37330,   1.00000
  41.77516,  25.60447,   8.21550,  16.17069,   4.65966,   3.67234, -15.65812,   9.91676,  -2.67587,  14.98405,  10.20876,   1.00000
 -40.16350,  -6.54289,  -2.65997, -33.62060,  -0.88100,   2.16328,  -4.78532,  -1.36993,  -1.73255,  -4.32774,  -7.18353,   0.00000
   5.19133,  -1.30491,   0.07349,   6.49623,   0.18059,  -0.75968,  -6.13807,   8.09913,  -2.38554,   6.19028,   0.66574,   1.00000
 -18.18349,  -4.10092,   2.07808, -14.08256,  -2.17191,  -0.72887,  20.04892, -13.59459,   8.28534,  -3.08541,  -9.88055,   0.00000
  -0.57751,  -5.53741,  -6.52562,   4.95990,  -3.25754,  -2.61584,  10.12757, -13.25682,   1.10241,  -9.12547,   3.99361,   0.00000
   1.25746,  18.86212,  10.64428, -17.60467,  -0.95907,  -2.41790,   8.25962,   8.57542,   5.57826,  -4.99403,   3.00696,   1.00000
  18.54378, -10.61825,  -5.41081,  29.16203,  -2.71702,  -2.45224, -11.65333,   6.68909,   2.45662,  -1.38142,   1.37143,   1.00000
  -7.06251,  10.54964,   3.51831, -17.61215,  -2.77490,   1.61052,   2.11530,   2.89721,   1.57713,  -2.45248,  -1.97329,   0.00000
